Date,kWH,kVAH,kVARH,kVAMD,pf
2021-09-01,2277,2307,350,11056,0.986
2021-09-02,2404,2444,436,11056,0.983
2021-09-03,2367,2398,371,11056,0.987
2021-09-04,2489,2524,424,11056,0.986
2021-09-05,2440,2476,417,11056,0.985
2021-09-06,2547,2583,434,11056,0.990
2021-09-07,2403,2437,395,11056,
2021-09-08,2359,2395,404,11056,0.985
2021-09-09,2459,2493,411,12006,0.986
2021-09-10,1873,1879,111,11208,0.996
2021-09-11,1380,1381,6,11208,0.999
2021-09-12,1113,1172,307,11208,0.949
2021-09-13,1169,1301,557,11208,0.898
2021-09-14,1220,1370,24,11208,0.879
2021-09-15,1201,1354,624,11208,0.889
2021-09-16,1216,1297,420,11208,0.937
2021-09-17,1342,1376,304,11208,0.975
2021-09-18,1276,1313,304,11208,0.971
2021-09-19,1497,1548,392,11208,0.967
2021-09-20,1738,1802,476,11208,0.964
2021-09-21,2013,2070,451,11208,0.972
2021-09-22,2185,2239,483,11208,0.975
2021-09-23,2398,2453,510,11208,0.975
2021-09-24,2311,2342,375,11208,0.986
2021-09-25,2438,2464,352,11208,0.986
2021-09-26,2384,2416,383,11208,0.986
2021-09-27,2160,2177,263,11208,0.992
2021-09-28,2023,2094,284,11208,0.989
2021-09-29,2223,2259,365,11208,0.984
2021-09-30,2232,2251,314,11208,0.991
2021-10-01,2222,2248,336,10163,0.988
2021-10-02,2125,2144,269,10163,0.991
2021-10-03,2208,2234,332,10272,0.988
2021-10-04,2429,2463,398,10906,0.986
2021-10-05,2437,2485,474,11018,0.980
2021-10-06,2493,2542,505,11190,0.980
2021-10-07,2372,2426,499,11190,0.977
2021-10-08,2450,2500,488,11190,0.988
2021-10-09,2476,2520,466,11190,0.982
2021-10-10,2532,2580,502,11190,0.981
2021-10-11,2379,2417,419,11216,0.984
2021-10-12,2117,2165,390,11216,0.977
2021-10-13,2381,2479,690,11216,0.960
2021-10-14,2332,2436,705,11216,0.957
2021-10-15,2366,2462,681,11216,0.961
